d16vpa_	d2q13a1	0.280973	207	20.433875	9	0.328506	121	5.64	0.017	0.29837	6.02	311	266	4	200	9.66	212	7.31	28.35	365.52	311	99	0.4615	0.7970	0
d16vpa_	d6raha1	0.304253	201	10.087041	23	0.318928	144	5.77	0.076	0.28803	6.60	311	326	5	208	5.84	219	4.34	19.61	362.98	334	115	0.3781	0.6718	0
d16vpa_	d4a82a1	0.334987	206	14.969926	21	0.347913	147	5.30	0.054	0.31729	6.57	311	323	4	200	9.97	213	6.87	19.86	362.64	323	110	0.3777	0.6594	0
d16vpa_	d5c5bb1	0.275552	223	24.525293	21	0.318575	141	6.59	0.064	0.28708	6.05	311	269	5	200	8.56	213	5.10	27.11	357.68	306	93	0.4516	0.7918	0
d16vpa_	d5azsa_	0.269441	241	15.814370	26	0.372540	152	5.79	0.033	0.25045	7.45	311	430	5	208	9.01	226	6.42	27.37	352.84	378	152	0.2774	0.5256	0
d16vpa_	d4giea1	0.266913	183	11.291316	34	0.295409	145	6.69	0.062	0.27781	6.17	311	281	5	176	11.63	188	5.17	22.07	148.56	336	148	0.1769	0.6690	0
d16vpa_	d3eoka_	0.179891	97	9.392406	22	0.396782	78	4.28	0.064	0.34438	4.42	311	141	5	104	3.10	125	3.49	16.99	184.54	193	68	0.4523	0.8865	0
d16vpa_	d4qiva_	0.114956	73	7.155911	20	0.415714	60	4.13	0.017	0.39895	3.33	311	86	1	40	0.89	42	0.95	21.20	80.72	63	21	0.3363	0.4884	0
d16vpa_	d7buga1	0.168943	127	10.915892	20	0.372634	81	5.33	0.148	0.29862	4.42	311	141	2	40	3.07	63	3.95	10.70	40.86	159	96	0.1001	0.4468	0
d16vpa_	d1rypa_	0.233923	189	17.459554	31	0.299383	123	6.39	0.041	0.27772	5.78	311	243	5	144	7.27	125	3.47	20.45	177.09	285	160	0.2460	0.5144	0
d1a04a1	d3q9sa2	0.454408	60	7.539562	10	0.596835	51	2.42	0.255	0.45045	3.38	67	88	0	40	1.96	51	2.50	1.96	75.10	61	10	0.3129	0.5795	1
