d1a0pa1	d1x2ia1	51	2.83	0.118	0.46575	2.86	0.7500	51	2.83	0.118	0.46575	2.86	0.7500	68	2	56	3.51	54	2.46	6.73	79.67	77	23	0	1	0	0	0	0	0	0
d1a0pa1	d1sgga_	57	2.83	0.105	0.51378	2.83	0.8507	57	2.83	0.105	0.51378	2.83	0.8507	67	1	48	3.99	55	2.68	4.57	75.66	78	23	0	1	0	0	0	0	0	0
d1a0pa1	d2vana1	47	2.78	0.128	0.46451	2.54	0.8103	47	2.78	0.128	0.46451	2.54	0.8103	58	1	48	5.10	51	2.89	10.62	69.98	58	7	0	1	0	0	0	0	0	0
d1a0pa1	d7ndya_	65	4.40	0.108	0.37917	3.33	0.7558	65	4.40	0.108	0.37917	3.33	0.7558	86	2	64	2.93	68	2.18	6.15	90.02	76	8	0	1	0	0	0	0	0	0
d1a0pa1	d3cw2c2	74	3.81	0.095	0.45815	3.45	0.8132	74	3.81	0.095	0.45815	3.45	0.8132	91	1	64	3.51	74	3.16	4.65	119.52	80	6	0	1	0	0	0	0	0	0
d1a0pa1	d3tewa1	58	3.98	0.172	0.09765	7.88	0.1184	58	3.98	0.172	0.09765	7.88	0.1184	490	1	40	3.86	47	3.53	10.34	58.50	117	70	0	0	0	0	0	0	1	0
d1a0pa1	d2v3bb_	45	3.91	0.044	0.37143	2.37	0.8491	45	3.91	0.044	0.37143	2.37	0.8491	53	0	16	3.15	29	3.10	3.15	31.23	43	14	0	0	0	0	0	0	0	1
d1a0pa1	d4rxla_	70	3.53	0.114	0.23891	5.62	0.3057	70	3.53	0.114	0.23891	5.62	0.3057	229	1	48	5.73	67	3.12	9.61	82.36	92	25	0	0	0	1	0	0	0	0
d1a0pa1	d7aata_	62	4.43	0.065	0.12129	7.23	0.1546	62	4.43	0.065	0.12129	7.23	0.1546	401	2	64	3.20	69	2.74	13.58	114.93	113	44	0	0	0	1	0	0	0	0
d1a0pa1	d3g7ka2	57	4.33	0.053	0.19545	5.39	0.2714	57	4.33	0.053	0.19545	5.39	0.2714	210	1	56	3.22	63	3.23	12.14	81.71	113	50	0	0	0	0	1	0	0	0
d1a1xa_	d1jsga_	105	1.90	0.400	0.82000	3.88	0.9459	105	1.90	0.400	0.82000	3.88	0.9459	111	0	96	1.59	104	1.68	1.59	256.11	106	2	1	0	1	0	0	0	0	0
d1a1xa_	d1jnpa_	101	1.88	0.396	0.85667	3.67	1.0000	101	1.88	0.396	0.85667	3.67	1.0000	101	0	96	1.52	100	1.64	1.52	253.32	100	0	1	0	1	0	0	0	0	0
d1a1xa_	d2q3za1	65	4.69	0.077	0.28493	4.25	0.4962	65	4.69	0.077	0.28493	4.25	0.4962	131	1	40	2.92	45	2.72	7.11	62.88	95	50	0	0	1	0	0	0	0	0
d1a1xa_	d4qifa_	60	4.46	0.083	0.39254	3.45	0.6593	60	4.46	0.083	0.39254	3.45	0.6593	91	0	24	1.32	41	3.11	1.32	59.36	68	27	0	0	0	0	1	0	0	0
d1a1xa_	d1ak7a1	60	4.69	0.067	0.22070	4.77	0.3659	60	4.69	0.067	0.22070	4.77	0.3659	164	1	24	3.37	29	3.23	4.86	47.21	72	43	0	0	0	0	1	0	0	0
d1a1xa_	d4tzia_	53	4.62	0.075	0.28793	3.86	0.4818	53	4.62	0.075	0.28793	3.86	0.4818	110	1	40	4.98	58	3.42	8.15	61.36	107	49	0	0	0	0	1	0	0	0
d1a1xa_	d5f3ma1	69	5.29	0.029	0.31131	4.01	0.5847	69	5.29	0.029	0.31131	4.01	0.5847	118	1	24	3.06	30	3.20	4.31	44.76	75	45	0	0	0	0	1	0	0	0
d1a6db3	d1q3qa3	106	1.20	0.500	0.93613	3.80	0.9907	106	1.20	0.500	0.93613	3.80	0.9907	107	0	96	0.73	104	0.84	0.73	282.70	107	3	1	0	0	0	1	0	0	0
d1a6db3	d1a6da3	104	1.17	0.510	0.92455	3.76	0.9905	104	1.17	0.510	0.92455	3.76	0.9905	105	0	96	0.93	104	1.21	0.93	282.04	105	1	1	0	0	0	1	0	0	0
d1a6db3	d1we3a3	84	1.87	0.214	0.80463	3.33	0.9767	84	1.87	0.214	0.80463	3.33	0.9767	86	0	72	2.11	85	1.99	2.11	176.37	105	20	1	0	0	0	1	0	0	0
d1a6db3	d1ioka3	88	2.36	0.216	0.71461	3.59	0.9072	88	2.36	0.216	0.71461	3.59	0.9072	97	0	80	3.20	88	2.41	3.20	173.58	115	27	1	0	0	0	1	0	0	0
